Waypoint,Zone,Season,Nutrients,Temp_in,Nutrient_mean,Nutrient_min,Nutrient_max
16,Ambient,FALL,Silicate,25.91379523,2.03,2.03,2.03
16,Ambient,FALL,Silicate,27.43287305,2.84,2.84,2.84
16,Ambient,SPRING,NN,23.87478944,0.19,0.19,0.19
16,Ambient,SPRING,NN,23.89699277,0.25,0.25,0.25
16,Ambient,SPRING,NN,25.57611959,0.12,0.12,0.12
16,Ambient,SPRING,Phosphate,23.87478944,0.09,0.09,0.09
16,Ambient,SPRING,Phosphate,23.89699277,0.11,0.11,0.11
16,Ambient,SPRING,Phosphate,25.57611959,0.11,0.11,0.11
16,Ambient,SPRING,Silicate,23.87478944,4.66,4.66,4.66
16,Ambient,SPRING,Silicate,23.89699277,1.82,1.82,1.82
16,Ambient,SPRING,Silicate,25.57611959,2.04,2.04,2.04
17,Ambient,FALL,NN,26.38784991,0.15,0.15,0.15
17,Ambient,FALL,NN,26.45559787,0.18,0.18,0.18
17,Ambient,FALL,NN,26.7705343,0.13,0.13,0.13
17,Ambient,FALL,NN,27.22096664,0.15,0.15,0.15
17,Ambient,FALL,Phosphate,26.38784991,0.13,0.13,0.13
17,Ambient,FALL,Phosphate,26.45559787,0.1,0.1,0.1
17,Ambient,FALL,Phosphate,26.7705343,0.09,0.09,0.09
17,Ambient,FALL,Phosphate,27.22096664,0.12,0.12,0.12
17,Ambient,FALL,Silicate,26.38784991,1.54,1.54,1.54
17,Ambient,FALL,Silicate,26.45559787,1.16,1.16,1.16
17,Ambient,FALL,Silicate,26.7705343,1.78,1.78,1.78
17,Ambient,FALL,Silicate,27.22096664,1.69,1.69,1.69
17,Ambient,SPRING,NN,23.91871166,0.15,0.15,0.15
17,Ambient,SPRING,NN,24.27209963,0.18,0.18,0.18
17,Ambient,SPRING,NN,24.51562606,0.26,0.26,0.26
17,Ambient,SPRING,NN,25.24803637,0.21,0.21,0.21
17,Ambient,SPRING,Phosphate,23.91871166,0.12,0.12,0.12
17,Ambient,SPRING,Phosphate,24.27209963,0.12,0.12,0.12
17,Ambient,SPRING,Phosphate,24.51562606,0.12,0.12,0.12
17,Ambient,SPRING,Phosphate,25.24803637,0.12,0.12,0.12
17,Ambient,SPRING,Silicate,23.91871166,1.93,1.93,1.93
17,Ambient,SPRING,Silicate,24.27209963,2.04,2.04,2.04
17,Ambient,SPRING,Silicate,24.51562606,1.86,1.86,1.86
17,Ambient,SPRING,Silicate,25.24803637,1.66,1.66,1.66
18,Ambient,FALL,NN,26.52661899,0.14,0.14,0.14
18,Ambient,FALL,NN,26.73234029,0.17,0.17,0.17
18,Ambient,FALL,NN,26.93993178,0.11,0.11,0.11
18,Ambient,FALL,NN,27.39999941,0.2,0.2,0.2
18,Ambient,FALL,Phosphate,26.52661899,0.11,0.11,0.11
18,Ambient,FALL,Phosphate,26.73234029,0.1,0.1,0.1
18,Ambient,FALL,Phosphate,26.93993178,0.1,0.1,0.1
18,Ambient,FALL,Phosphate,27.39999941,0.11,0.11,0.11
18,Ambient,FALL,Silicate,26.52661899,1.46,1.46,1.46
18,Ambient,FALL,Silicate,26.73234029,1.03,1.03,1.03
18,Ambient,FALL,Silicate,26.93993178,1.44,1.44,1.44
18,Ambient,FALL,Silicate,27.39999941,1.78,1.78,1.78
18,Ambient,SPRING,NN,24.04954757,0.17,0.17,0.17
18,Ambient,SPRING,NN,24.50119932,0.17,0.17,0.17
18,Ambient,SPRING,NN,24.56946139,0.2,0.2,0.2
18,Ambient,SPRING,NN,25.31753883,0.14,0.14,0.14
18,Ambient,SPRING,Phosphate,24.04954757,0.11,0.11,0.11
18,Ambient,SPRING,Phosphate,24.50119932,0.12,0.12,0.12
18,Ambient,SPRING,Phosphate,24.56946139,0.11,0.11,0.11
18,Ambient,SPRING,Phosphate,25.31753883,0.11,0.11,0.11
18,Ambient,SPRING,Silicate,24.04954757,1.65,1.65,1.65
18,Ambient,SPRING,Silicate,24.50119932,1.4,1.4,1.4
18,Ambient,SPRING,Silicate,24.56946139,2.27,2.27,2.27
18,Ambient,SPRING,Silicate,25.31753883,1.65,1.65,1.65
19,Ambient,FALL,NN,26.76743323,0.09,0.09,0.09
19,Ambient,FALL,NN,26.78095108,0.08,0.08,0.08
19,Ambient,FALL,NN,27.40983169,0.1,0.1,0.1
19,Ambient,FALL,NN,27.94864676,0.14,0.14,0.14
19,Ambient,FALL,Phosphate,26.76743323,0.08,0.08,0.08
19,Ambient,FALL,Phosphate,26.78095108,0.09,0.09,0.09
19,Ambient,FALL,Phosphate,27.40983169,0.1,0.1,0.1
19,Ambient,FALL,Phosphate,27.94864676,0.15,0.15,0.15
19,Ambient,FALL,Silicate,26.76743323,1.4,1.4,1.4
19,Ambient,FALL,Silicate,26.78095108,1.03,1.03,1.03
19,Ambient,FALL,Silicate,27.40983169,1.9,1.9,1.9
19,Ambient,FALL,Silicate,27.94864676,1.55,1.55,1.55
19,Ambient,SPRING,NN,24.28645788,0.13,0.13,0.13
19,Ambient,SPRING,NN,24.76463798,0.13,0.13,0.13
19,Ambient,SPRING,NN,24.77369034,0.13,0.13,0.13
19,Ambient,SPRING,NN,25.72976343,0.14,0.14,0.14
19,Ambient,SPRING,Phosphate,24.28645788,0.11,0.11,0.11
19,Ambient,SPRING,Phosphate,24.76463798,0.13,0.13,0.13
19,Ambient,SPRING,Phosphate,24.77369034,0.12,0.12,0.12
19,Ambient,SPRING,Phosphate,25.72976343,0.13,0.13,0.13
19,Ambient,SPRING,Silicate,24.28645788,1.54,1.54,1.54
19,Ambient,SPRING,Silicate,24.76463798,1.51,1.51,1.51
19,Ambient,SPRING,Silicate,24.77369034,1.68,1.68,1.68
19,Ambient,SPRING,Silicate,25.72976343,1.58,1.58,1.58
20,Ambient,FALL,NN,26.82956186,0.08,0.08,0.08
20,Ambient,FALL,NN,27.00824746,0.76,0.76,0.76
20,Ambient,FALL,NN,27.8797316,0.1,0.1,0.1
20,Ambient,FALL,NN,28.49729411,0.27,0.27,0.27
20,Ambient,FALL,Phosphate,26.82956186,0.07,0.07,0.07
20,Ambient,FALL,Phosphate,27.00824746,0.11,0.11,0.11
20,Ambient,FALL,Phosphate,27.8797316,0.1,0.1,0.1
20,Ambient,FALL,Phosphate,28.49729411,0.12,0.12,0.12
20,Ambient,FALL,Silicate,26.82956186,2.07,2.07,2.07
20,Ambient,FALL,Silicate,27.00824746,2.49,2.49,2.49
20,Ambient,FALL,Silicate,27.8797316,1.9,1.9,1.9
20,Ambient,FALL,Silicate,28.49729411,1.92,1.92,1.92
20,Ambient,SPRING,NN,24.52336819,0.11,0.11,0.11
20,Ambient,SPRING,NN,24.97791928,0.18,0.18,0.18
20,Ambient,SPRING,NN,25.02807664,0.13,0.13,0.13
20,Ambient,SPRING,NN,26.14198803,0.12,0.12,0.12
20,Ambient,SPRING,Phosphate,24.52336819,0.11,0.11,0.11
20,Ambient,SPRING,Phosphate,24.97791928,0.12,0.12,0.12
20,Ambient,SPRING,Phosphate,25.02807664,0.12,0.12,0.12
20,Ambient,SPRING,Phosphate,26.14198803,0.12,0.12,0.12
20,Ambient,SPRING,Silicate,24.52336819,1.72,1.72,1.72
20,Ambient,SPRING,Silicate,24.97791928,1.88,1.88,1.88
20,Ambient,SPRING,Silicate,25.02807664,1.58,1.58,1.58
20,Ambient,SPRING,Silicate,26.14198803,1.64,1.64,1.64
21,Ambient,FALL,NN,26.39607726,0.14,0.14,0.14
21,Ambient,FALL,NN,26.55552153,0.41,0.41,0.41
21,Ambient,FALL,NN,27.10562886,0.14,0.14,0.14
21,Ambient,FALL,NN,27.50866273,0.13,0.13,0.13
21,Ambient,FALL,Phosphate,26.39607726,0.11,0.11,0.11
21,Ambient,FALL,Phosphate,26.55552153,0.14,0.14,0.14
21,Ambient,FALL,Phosphate,27.10562886,0.09,0.09,0.09
21,Ambient,FALL,Phosphate,27.50866273,0.12,0.12,0.12
21,Ambient,FALL,Silicate,26.39607726,1.86,1.86,1.86
21,Ambient,FALL,Silicate,26.55552153,3.75,3.75,3.75
21,Ambient,FALL,Silicate,27.10562886,2.82,2.82,2.82
21,Ambient,FALL,Silicate,27.50866273,2.39,2.39,2.39
21,Ambient,SPRING,NN,24.04085082,0.26,0.26,0.26
21,Ambient,SPRING,NN,24.39985111,0.13,0.13,0.13
21,Ambient,SPRING,NN,24.82692601,0.19,0.19,0.19
21,Ambient,SPRING,NN,25.66787286,0.16,0.16,0.16
21,Ambient,SPRING,Phosphate,24.04085082,0.2,0.2,0.2
21,Ambient,SPRING,Phosphate,24.39985111,0.13,0.13,0.13
21,Ambient,SPRING,Phosphate,24.82692601,0.13,0.13,0.13
21,Ambient,SPRING,Phosphate,25.66787286,0.14,0.14,0.14
21,Ambient,SPRING,Silicate,24.04085082,2.19,2.19,2.19
21,Ambient,SPRING,Silicate,24.39985111,1.39,1.39,1.39
21,Ambient,SPRING,Silicate,24.82692601,1.51,1.51,1.51
21,Ambient,SPRING,Silicate,25.66787286,2.05,2.05,2.05
23,Transition,FALL,NN,26.29858645,0.1,0.1,0.1
23,Transition,FALL,NN,26.86921055,5.13,5.13,5.13
23,Transition,FALL,NN,27.23597384,6.73,6.73,6.73
23,Transition,FALL,NN,28.34277982,0.48,0.48,0.48
23,Transition,FALL,Phosphate,26.29858645,0.11,0.11,0.11
23,Transition,FALL,Phosphate,26.86921055,0.27,0.27,0.27
23,Transition,FALL,Phosphate,27.23597384,0.34,0.34,0.34
23,Transition,FALL,Phosphate,28.34277982,0.12,0.12,0.12
23,Transition,FALL,Silicate,26.29858645,1.98,1.98,1.98
23,Transition,FALL,Silicate,26.86921055,31.21,31.21,31.21
23,Transition,FALL,Silicate,27.23597384,38.75,38.75,38.75
23,Transition,FALL,Silicate,28.34277982,2.84,2.84,2.84
23,Transition,SPRING,NN,23.88018281,2.58,2.58,2.58
23,Transition,SPRING,NN,23.99281824,11.56,11.56,11.56
23,Transition,SPRING,NN,24.84828896,9.52,9.52,9.52
23,Transition,SPRING,NN,26.93809503,0.49,0.49,0.49
23,Transition,SPRING,Phosphate,23.88018281,0.26,0.26,0.26
23,Transition,SPRING,Phosphate,23.99281824,0.41,0.41,0.41
23,Transition,SPRING,Phosphate,24.84828896,0.37,0.37,0.37
23,Transition,SPRING,Phosphate,26.93809503,0.15,0.15,0.15
23,Transition,SPRING,Silicate,23.88018281,19.7,19.7,19.7
23,Transition,SPRING,Silicate,23.99281824,85.1,85.1,85.1
23,Transition,SPRING,Silicate,24.84828896,56.14,56.14,56.14
23,Transition,SPRING,Silicate,26.93809503,6.44,6.44,6.44
24,Transition,FALL,NN,26.18770102,0.37,0.37,0.37
24,Transition,FALL,NN,26.60019207,9.23,9.23,9.23
24,Transition,FALL,NN,26.76143858,6.82,6.82,6.82
24,Transition,FALL,NN,28.80420676,0.37,0.37,0.37
24,Transition,FALL,Phosphate,26.18770102,0.14,0.14,0.14
24,Transition,FALL,Phosphate,26.60019207,0.45,0.45,0.45
24,Transition,FALL,Phosphate,26.76143858,0.33,0.33,0.33
24,Transition,FALL,Phosphate,28.80420676,0.12,0.12,0.12
24,Transition,FALL,Silicate,26.18770102,3.54,3.54,3.54
24,Transition,FALL,Silicate,26.60019207,37.91,37.91,37.91
24,Transition,FALL,Silicate,26.76143858,44.43,44.43,44.43
24,Transition,FALL,Silicate,28.80420676,3.56,3.56,3.56
24,Transition,SPRING,NN,23.82150235,3.37,3.37,3.37
24,Transition,SPRING,NN,24.36430308,25.67,25.67,25.67
24,Transition,SPRING,NN,24.61367267,11.03,11.03,11.03
24,Transition,SPRING,NN,26.43988305,1.29,1.29,1.29
24,Transition,SPRING,Phosphate,23.82150235,0.22,0.22,0.22
24,Transition,SPRING,Phosphate,24.36430308,0.77,0.77,0.77
24,Transition,SPRING,Phosphate,24.61367267,0.41,0.41,0.41
24,Transition,SPRING,Phosphate,26.43988305,0.19,0.19,0.19
24,Transition,SPRING,Silicate,23.82150235,20.03,20.03,20.03
24,Transition,SPRING,Silicate,24.36430308,113.44,113.44,113.44
24,Transition,SPRING,Silicate,24.61367267,48.79,48.79,48.79
24,Transition,SPRING,Silicate,26.43988305,14.43,14.43,14.43
25,Ambient,FALL,NN,26.52213592,0.14,0.14,0.14
25,Ambient,FALL,NN,26.66196532,0.13,0.13,0.13
25,Ambient,FALL,NN,27.24601463,0.06,0.06,0.06
25,Ambient,FALL,NN,27.69213699,0.13,0.13,0.13
25,Ambient,FALL,Phosphate,26.52213592,0.11,0.11,0.11
25,Ambient,FALL,Phosphate,26.66196532,0.11,0.11,0.11
25,Ambient,FALL,Phosphate,27.24601463,0.1,0.1,0.1
25,Ambient,FALL,Phosphate,27.69213699,0.11,0.11,0.11
25,Ambient,FALL,Silicate,26.52213592,2.07,2.07,2.07
25,Ambient,FALL,Silicate,26.66196532,1.88,1.88,1.88
25,Ambient,FALL,Silicate,27.24601463,2.2,2.2,2.2
25,Ambient,FALL,Silicate,27.69213699,2.07,2.07,2.07
25,Ambient,SPRING,NN,24.11935325,0.19,0.19,0.19
25,Ambient,SPRING,NN,24.44086574,0.11,0.11,0.11
25,Ambient,SPRING,NN,24.78615874,0.12,0.12,0.12
25,Ambient,SPRING,NN,25.8020621,0.16,0.16,0.16
25,Ambient,SPRING,Phosphate,24.11935325,0.17,0.17,0.17
25,Ambient,SPRING,Phosphate,24.44086574,0.13,0.13,0.13
25,Ambient,SPRING,Phosphate,24.78615874,0.1,0.1,0.1
25,Ambient,SPRING,Phosphate,25.8020621,0.23,0.23,0.23
25,Ambient,SPRING,Silicate,24.11935325,1.78,1.78,1.78
25,Ambient,SPRING,Silicate,24.44086574,1.22,1.22,1.22
25,Ambient,SPRING,Silicate,24.78615874,1.51,1.51,1.51
25,Ambient,SPRING,Silicate,25.8020621,1.75,1.75,1.75
27,Transition,FALL,NN,26.23589757,0.25,0.25,0.25
27,Transition,FALL,NN,26.48220751,9.31,9.31,9.31
27,Transition,FALL,NN,26.66101029,1.55,1.55,1.55
27,Transition,FALL,NN,27.80863216,0.18,0.18,0.18
27,Transition,FALL,Phosphate,26.23589757,0.13,0.13,0.13
27,Transition,FALL,Phosphate,26.48220751,0.37,0.37,0.37
27,Transition,FALL,Phosphate,26.66101029,0.18,0.18,0.18
27,Transition,FALL,Phosphate,27.80863216,0.11,0.11,0.11
27,Transition,FALL,Silicate,26.23589757,2.33,2.33,2.33
27,Transition,FALL,Silicate,26.48220751,43.65,43.65,43.65
27,Transition,FALL,Silicate,26.66101029,17.34,17.34,17.34
27,Transition,FALL,Silicate,27.80863216,3.18,3.18,3.18
27,Transition,SPRING,NN,23.80016594,1.95,1.95,1.95
27,Transition,SPRING,NN,24.13040372,10.16,10.16,10.16
27,Transition,SPRING,NN,24.61572552,8.48,8.48,8.48
27,Transition,SPRING,NN,26.59350312,0.9,0.9,0.9
27,Transition,SPRING,Phosphate,23.80016594,0.13,0.13,0.13
27,Transition,SPRING,Phosphate,24.13040372,0.36,0.36,0.36
27,Transition,SPRING,Phosphate,24.61572552,0.34,0.34,0.34
27,Transition,SPRING,Phosphate,26.59350312,0.16,0.16,0.16
27,Transition,SPRING,Silicate,23.80016594,14.52,14.52,14.52
27,Transition,SPRING,Silicate,24.13040372,68.11,68.11,68.11
27,Transition,SPRING,Silicate,24.61572552,47.59,47.59,47.59
27,Transition,SPRING,Silicate,26.59350312,10.97,10.97,10.97
28,Transition,FALL,NN,25.97532077,0.25,0.25,0.25
28,Transition,FALL,NN,26.14964391,5.75,5.75,5.75
28,Transition,FALL,NN,26.69573782,3.87,3.87,3.87
28,Transition,FALL,NN,27.86263556,0.63,0.63,0.63
28,Transition,FALL,Phosphate,25.97532077,0.13,0.13,0.13
28,Transition,FALL,Phosphate,26.14964391,0.35,0.35,0.35
28,Transition,FALL,Phosphate,26.69573782,0.26,0.26,0.26
28,Transition,FALL,Phosphate,27.86263556,0.13,0.13,0.13
28,Transition,FALL,Silicate,25.97532077,2.56,2.56,2.56
28,Transition,FALL,Silicate,26.14964391,23.98,23.98,23.98
28,Transition,FALL,Silicate,26.69573782,20.92,20.92,20.92
